2022-03-24 22:18:45 status unpacked libglvnd0:amd64 1.3.2-1~ubuntu0.20.04.2
2022-03-24 22:18:45 install libglx0:amd64 <none> 1.3.2-1~ubuntu0.20.04.2
2022-03-24 22:18:45 status half-installed libglx0:amd64 1.3.2-1~ubuntu0.20.04.2
2022-03-24 22:18:45 status unpacked libglx0:amd64 1.3.2-1~ubuntu0.20.04.2
2022-03-24 22:18:45 install libgl1:amd64 <none> 1.3.2-1~ubuntu0.20.04.2
2022-03-24 22:18:45 status half-installed libgl1:amd64 1.3.2-1~ubuntu0.20.04.2
2022-03-24 22:18:45 status unpacked libgl1:amd64 1.3.2-1~ubuntu0.20.04.2
2022-03-24 22:18:45 install x11-utils:amd64 <none> 7.7+5
2022-03-24 22:18:45 status half-installed x11-utils:amd64 7.7+5
2022-03-24 22:18:45 status unpacked x11-utils:amd64 7.7+5
2022-03-24 22:18:45 install show-motd:all <none> 3.6-0ubuntu6.1
2022-03-24 22:18:45 status half-installed show-motd:all 3.6-0ubuntu6.1
2022-03-24 22:18:45 status unpacked show-motd:all 3.6-0ubuntu6.1
2022-03-24 22:18:45 startup packages configure
2022-03-24 22:18:45 configure libxcb-dri3-0:amd64 1.14-2 <none>
2022-03-24 22:18:45 status unpacked libxcb-dri3-0:amd64 1.14-2
2022-03-24 22:18:45 status half-configured libxcb-dri3-0:amd64 1.14-2
2022-03-24 22:18:45 status installed libxcb-dri3-0:amd64 1.14-2
2022-03-24 22:18:45 configure libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2 <none>
2022-03-24 22:18:45 status unpacked libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2
2022-03-24 22:18:45 status half-configured libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2
2022-03-24 22:18:45 status installed libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2
2022-03-24 22:18:45 configure libpciaccess0:amd64 0.16-0ubuntu1 <none>
2022-03-24 22:18:45 status unpacked libpciaccess0:amd64 0.16-0ubuntu1
2022-03-24 22:18:45 status half-configured libpciaccess0:amd64 0.16-0ubuntu1
2022-03-24 22:18:45 status installed libpciaccess0:amd64 0.16-0ubuntu1
2022-03-24 22:18:45 configure libdrm-nouveau2:amd64 2.4.107-8ubuntu1~20.04.2 <none>
2022-03-24 22:18:45 status unpacked libdrm-nouveau2:amd64 2.4.107-8ubuntu1~20.04.2
2022-03-24 22:18:46 status half-configured libdrm-nouveau2:amd64 2.4.107-8ubuntu1~20.04.2
2022-03-24 22:18:46 status installed libdrm-nouveau2:amd64 2.4.107-8ubuntu1~20.04.2
2022-03-24 22:18:46 configure libxcb-xfixes0:amd64 1.14-2 <none>
2022-03-24 22:18:46 status unpacked libxcb-xfixes0:amd64 1.14-2
2022-03-24 22:18:46 status half-configured libxcb-xfixes0:amd64 1.14-2
2022-03-24 22:18:46 status installed libxcb-xfixes0:amd64 1.14-2
2022-03-24 22:18:46 configure libxpm4:amd64 1:3.5.12-1 <none>
2022-03-24 22:18:46 status unpacked libxpm4:amd64 1:3.5.12-1
2022-03-24 22:18:46 status half-configured libxpm4:amd64 1:3.5.12-1
2022-03-24 22:18:46 status installed libxpm4:amd64 1:3.5.12-1
2022-03-24 22:18:46 configure libxi6:amd64 2:1.7.10-0ubuntu1 <none>
